Name	Family	Number	DMSO-1-DOX-1.Intensity	DMSO-1-DOX-1.Network	DMSO-2-DOX-2.Intensity	DMSO-2-DOX-2.Network	DMSO-3-DOX-3.Intensity	DMSO-3-DOX-3.Network	mRNA-DOX-NT.mRNA
CDKL1	CMGC	4	3.8525e-026	6.748e-012	3.3778e-025		4.7564e-012		
CDKL2	CMGC	4	3.5405e-013		2.2196e-013		1.4339e-007		0.00235927228407648
CDKL4	CMGC	4	3.8525e-026	6.748e-012	3.3778e-025		4.7564e-012		
CHEK2	CAMK/RAD53	4	5.1602e-010	2.2042e-010	4.0894e-008			2.793e-006	
CLK1	CMGC	4	3.8525e-026	6.748e-012	3.3778e-025		4.7564e-012		
CLK2	CMGC	4	1.943e-013	7.7689e-006	3.6769e-015		1.6061e-007		
CSNK1D	CK1	4	4.9928e-017	1.8946e-014	2.8925e-018	1.5341e-011			
CSNK1E	CK1	4	4.0612e-013	3.0795e-010	6.4622e-015	1.2673e-010			
CSNK1G1	CK1	4	2.2558e-014	3.4227e-011	6.073e-016	1.5944e-011			
CSNK1G2	CK1	4	7.1132e-017	2.4758e-014	4.576e-018	2.1823e-011			
CSNK2A2	Other/CK2	4	2.4942e-034	2.7288e-035	5.1675e-016	2.111e-013			
CDK12	CMGC/CDK	3	4.08e-051		1.1866e-021		1.233e-016		
CDK9	CMGC/CDK	3	3.2521e-047		5.1012e-019		1.2476e-014		
EIF2AK3	Other/PEK	3	4.3376e-006		2.0742e-009		4.3374e-006		
CLK4	CMGC	3	3.9639e-012		1.5507e-013		1.6371e-006		
CDKL5	CMGC	3	1.4667e-012		2.0003e-013		7.914e-007		
CLK3	CMGC	3	1.2749e-012		3.3381e-014		6.4104e-007		
PLK3	Other/PLK	3	4.2818e-011		4.8205e-010		1.1594e-007		
CDK20	CMGC/CDK	3	3.2521e-047		5.1012e-019		1.2476e-014		
SRPK2	CMGC	3	7.8601e-012		2.8311e-013		2.384e-006		
CDK18	CMGC/CDK	3	1.0072e-047		4.7811e-018		7.7288e-016		
MAK	CMGC	3	7.8601e-012		2.8311e-013		2.384e-006		
PIM2	CAMK	2	2.2765e-008						0.00766279939581403
AURKB	Other/AUR/AUR-B	2	3.2767e-011		1.794e-010				
TRIB3	CAMK	2	8.7124e-007						4.27013622725345e-05
GSK3B	CMGC/GSK	2	1.2523e-006				8.4705e-006		
EPHA4		1							3.73024706085567e-08
MAPK4		1							1.4841528345013e-05
IRAK2	TKL/IRAK	1							0.00430570210251024
CHUK	Other/IKK	1		9.0745e-006					
MET	TK/Met	1	3.2429e-010						
NEK10	Other/NEK	1							0.00294047658348539
NEK2	Other/NEK	1							0.00190075206636237
NIM1K	CAMK/CAMKL	1							0.00362709401812572
PAK6	STE/STE20	1							6.42925068977828e-05
PDIK1L		1							0.00233866998639818
PIM1	CAMK	1	3.8455e-009						
PIM3	CAMK	1	7.6068e-006						
PLK1	Other/PLK	1							0.000414386937156393
BMX	TK/Tec	1		1.4498e-006					
AMHR2		1							0.00041087029665915
PSKH1	CAMK	1	3.4696e-007						
RET	TK/Ret	1							0.000131977474002037
RIOK1		1							0.00237843563233501
RIOK2		1							0.00199093693697804
RNASEL		1							0.000858089551750108
RPS6KL1		1							0.000104657442603918
BTK	TK/Tec	1		5.7279e-006					
CAMK4	CAMK/CAMK1	1						9.6131e-007	
KALRN	CAMK	1	1.3742e-007						
STRADA		1							0.000831657100309197
TBK1	Other/IKK	1							0.00443411297322339
TEX14		1							6.50042825448493e-10
TP53RK		1							0.00715930510082607
TRIB1	CAMK	1	2.1302e-006						
CAMKK1		1							0.00034869570994369
TRIO	CAMK	1				7.2809e-007			
CAMKV	CAMK	1	1.4372e-007						
TSSK2	CAMK	1	1.4372e-007						
TSSK3	CAMK	1	2.5803e-007						
LYN	TK/Src	1	8.735e-006						
FGR	TK/Src	1	8.735e-006						
TXK	TK/Tec	1		9.6655e-007					
MAP2K7	STE/STE7	1							0.00102458919118873
FGFR3		1							0.000210671609221741
WNK4		1							0.000801261122528454
